name	place	lat	lon
@Keksecrekt	Gaylord, Otsego County, Michigan, USA	45.027513	-84.674752
@ken____neth	Lol, Messaména, Haut-Nyong, ES, Cameroun	3.4978968	12.8686044
@kevinbrash	Vancouver, Metro Vancouver, British Columbia, Canada	49.2608724	-123.1139529
@KillshotKenny	Michigan, USA	43.6211955	-84.6824346
@Killuminati662	California, USA	36.7014631	-118.7559974
@kingjames04x11	Brookfield, Waukesha County, Wisconsin, USA	43.0605671	-88.1064787
@KiraSadboi	USA	39.7837304	-100.4458825
@kkarenchan	湾岸千葉ＩＣ, 東関東自動車道, 美浜区, 千葉市, 千葉県, 関東地方, 261-0014, 日本	35.6491079	140.0586337
@kmain	Mumbai, Mumbai City, Maharashtra, India	18.9387711	72.8353355
@KolaHR	Durham County, North Carolina, USA	36.0181316	-78.8751582
@kylebrussell	San Francisco, Rue Évangéline, Granby, La Haute-Yamaska, Montérégie, Québec, J2G 2Z5, Canada	45.4149778	-72.749396
@LagSeeN	العالم, دبي, دبي‎, الإمارات العربية المتحدة	25.2529955	55.1771471150149
@leroytorner	Encarnación, Alto Verá, Itapúa, Región Oriental, 6000, Paraguay	-27.3376114	-55.8669492
@LeslieYeow	Ottawa, Ontario, Canada	45.421106	-75.690308
@Levisan	Edmonton, Alberta, T5K 2B6, Canada	53.535411	-113.507996
@liz_kusanagi	NYC, New York, USA	40.7308619	-73.9871558
@loesto	Ciudad de México, Cuauhtémoc, 06060, México	19.4326009	-99.1333416
@Lowenaffchen	Middleton Colony, Essex County, Massachusetts, 01949-2807, USA	42.5903719	-70.9925525
@lprazdnik	USA	39.7837304	-100.4458825
@LueBar	Seattle, King County, Washington, USA	47.6038321	-122.3300624
@LunaticPaul	Death Valley, Timbisha, Inyo County, California, USA	36.42404725	-116.914043672057
@Madmatb	Hotspot Auto Parts, Dundas Street West, Lambton, York, Toronto, Ontario, M6S, Canada	43.6649615	-79.5006218
@MADSwaggger	Lowertown/Basseville Community Garden (AKA: Angel Square Garden / Location 2), Sandy Hill, Rideau-Vanier, Ottawa, Ontario, Canada	45.4346688	-75.68067965
@magicalfuntime	Internet, Commune Saint Michel de L'Atalaye, Arrondissement de Marmelade, Département de l'Artibonite, Ayiti	19.37218875	-72.3346544510523
@maid009	Masters Trail, The Residences at Cuneo Mansion & Gardens, Vernon Hills, Lake County, Illinois, 60061, USA	42.2556089	-87.9546763
@MarcusFurius72	In Dreams, 4, Calle de San Mateo, Justicia, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28004, España	40.4250369	-3.7003272
@mariocotto	Հայաստան	40.7696272	44.6736646
@marshray	Issaquah, King County, Washington, USA	47.5348778	-122.0432974
@matiass	Málaga, Andalucía, España	36.7213028	-4.4216366
@MatthewBevan	NSW, Australia	-31.8759835	147.2869493
@matthewglen_	Iowa, USA	41.9216734	-93.3122705
@meatmufin	Gym, Avenue Albanie, A, Brossard, Longueuil (agglomeration), Montérégie, Québec, J4Z 3H7, Canada	45.4805788	-73.4530174640344
@MeSoAvery	West Lafayette, Tippecanoe County, Indiana, USA	40.4258686	-86.9080655
@Microsoft	Redmond, King County, Washington, USA	47.6694141	-122.1238767
@MikeTront	Indianapolis, Marion County, Indiana, 46204, USA	39.7683331	-86.1583502
@Miloelmekawy	الجيزة, محافظة الجيزة‎, 12541, مصر	30.0170059	31.2134513
@Mindtaker_	Edmonton, Alberta, T5K 2B6, Canada	53.535411	-113.507996
@mjfidel	Tulsa, Tulsa County, Oklahoma, USA	36.1556805	-95.9929113
@mmyycczz	CDMX, México	19.32055625	-99.1517010707765
@Moopish	Le Void, Marainviller, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54300, France	48.5914619	6.5912872
@Moose_Bigelow	Puyallup, Pierce County, Washington, USA	47.1849009	-122.2921406
